s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 3.6378127E-001, 0.0000000E+000, 4.6460247E-002, 1.6553020E-001, 5.0919512E-002, 0.0000000E+000, 0.0000000E+000,-2.8682858E+000,-2.6263784E+000,-2.6053759E+000, 0.0000000E+000, 3.7275275E-003
 3.6427635E-001, 0.0000000E+000, 4.6301220E-002, 1.6624667E-001, 5.3057484E-002, 0.0000000E+000, 0.0000000E+000,-2.8738236E+000,-2.6301707E+000,-2.6082182E+000, 0.0000000E+000, 3.6796711E-003
 3.6477140E-001, 0.0000000E+000, 4.6319178E-002, 1.6685151E-001, 5.0247236E-002, 0.0000000E+000, 0.0000000E+000,-2.8770269E+000,-2.6338523E+000,-2.6136090E+000, 0.0000000E+000, 3.6869919E-003
 3.6526647E-001, 0.0000000E+000, 4.6302693E-002, 1.6760884E-001, 5.0157522E-002, 0.0000000E+000, 0.0000000E+000,-2.8818767E+000,-2.6376896E+000,-2.6178076E+000, 0.0000000E+000, 3.7414480E-003
 3.6576155E-001, 0.0000000E+000, 4.6899709E-002, 1.6841288E-001, 5.2087566E-002, 0.0000000E+000, 0.0000000E+000,-2.8841593E+000,-2.6423867E+000,-2.6167592E+000, 0.0000000E+000, 3.7855770E-003
 3.6625659E-001, 0.0000000E+000, 4.6204984E-002, 1.6916613E-001, 5.1049595E-002, 0.0000000E+000, 0.0000000E+000,-2.8872161E+000,-2.6418286E+000,-2.6207954E+000, 0.0000000E+000, 3.7631147E-003
 3.6675167E-001, 0.0000000E+000, 4.6278278E-002, 1.6989670E-001, 5.0759997E-002, 0.0000000E+000, 0.0000000E+000,-2.8881414E+000,-2.6455035E+000,-2.6212064E+000, 0.0000000E+000, 3.7594067E-003
 3.6724675E-001, 0.0000000E+000, 4.6993384E-002, 1.7071831E-001, 5.4019644E-002, 0.0000000E+000, 0.0000000E+000,-2.8890662E+000,-2.6474187E+000,-2.6173349E+000, 0.0000000E+000, 3.7862848E-003
 3.6774179E-001, 0.0000000E+000, 4.6660307E-002, 1.7152687E-001, 5.1367286E-002, 0.0000000E+000, 0.0000000E+000,-2.8940548E+000,-2.6446408E+000,-2.6245003E+000, 0.0000000E+000, 3.7507021E-003
 3.6823687E-001, 0.0000000E+000, 4.6953141E-002, 1.7189926E-001, 4.9133868E-002, 0.0000000E+000, 0.0000000E+000,-2.8993298E+000,-2.6493286E+000,-2.6313436E+000, 0.0000000E+000, 3.7376650E-003
 3.6873192E-001, 0.0000000E+000, 4.6072922E-002, 1.7263659E-001, 4.9081691E-002, 0.0000000E+000, 0.0000000E+000,-2.9023393E+000,-2.6559935E+000,-2.6345481E+000, 0.0000000E+000, 3.7428317E-003
 3.6922699E-001, 0.0000000E+000, 4.7461168E-002, 1.7288869E-001, 4.9994171E-002, 0.0000000E+000, 0.0000000E+000,-2.9100389E+000,-2.6566042E+000,-2.6396949E+000, 0.0000000E+000, 3.7167372E-003
 3.6972207E-001, 0.0000000E+000, 4.6992826E-002, 1.7339215E-001, 4.8290473E-002, 0.0000000E+000, 0.0000000E+000,-2.9108571E+000,-2.6628697E+000,-2.6421817E+000, 0.0000000E+000, 3.7196515E-003
 3.7021711E-001, 0.0000000E+000, 4.6617625E-002, 1.7374549E-001, 5.1247646E-002, 0.0000000E+000, 0.0000000E+000,-2.9135801E+000,-2.6640365E+000,-2.6419693E+000, 0.0000000E+000, 3.6906338E-003
 3.7071219E-001, 0.0000000E+000, 4.7024510E-002, 1.7401046E-001, 4.8432694E-002, 0.0000000E+000, 0.0000000E+000,-2.9162604E+000,-2.6675468E+000,-2.6467927E+000, 0.0000000E+000, 3.6725554E-003
 3.7120727E-001, 0.0000000E+000, 4.6883044E-002, 1.7439030E-001, 5.0434340E-002, 0.0000000E+000, 0.0000000E+000,-2.9160071E+000,-2.6698427E+000,-2.6442994E+000, 0.0000000E+000, 3.6713554E-003
 3.7170231E-001, 0.0000000E+000, 4.6924261E-002, 1.7477326E-001, 4.8237645E-002, 0.0000000E+000, 0.0000000E+000,-2.9203697E+000,-2.6678117E+000,-2.6504345E+000, 0.0000000E+000, 3.6475074E-003
 3.7219739E-001, 0.0000000E+000, 4.6866202E-002, 1.7466839E-001, 5.3436343E-002, 0.0000000E+000, 0.0000000E+000,-2.9225973E+000,-2.6728026E+000,-2.6476264E+000, 0.0000000E+000, 3.6072705E-003
